黑龙江移动,#genre#
吉林卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8
四川卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
天津卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
宁夏卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
宁夏卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
安徽卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8
山东卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
山西卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
山西卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
广东卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/index.m3u8
广西卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
新疆卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
江苏卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
江西卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
河北卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8
河北卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
河南卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
浙江卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
海南卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
海南卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
深圳卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
湖北卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226501/index.m3u8
湖南卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8
甘肃卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
甘肃卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226522/index.m3u8
西藏卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
西藏卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
贵州卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
贵州卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226383/index.m3u8
辽宁卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
辽宁卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226037/index.m3u8
辽宁卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
重庆卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
重庆卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
陕西卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
陕西卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
青海卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226032/index.m3u8
青海卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
吉林延边卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
广东大湾区卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
广东大湾区卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226038/index.m3u8
新疆兵团卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
四川康巴卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
山东教育卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
青海安多卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
上海哈哈炫动 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
北京卡酷少儿 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
江苏优漫卡通 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
湖南金鹰卡通 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
黑龙江卫视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
黑龙江农业科教 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226492/index.m3u8
黑龙江少儿 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
黑龙江影视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江文体 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8
黑龙江新闻法治 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
黑龙江都市 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
哈尔滨娱乐 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225759/index.m3u8
哈尔滨影视 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225760/index.m3u8
哈尔滨生活 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225762/index.m3u8
哈尔滨都市资讯 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8
伊春新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226416/index.m3u8
双鸭山公共 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8
双鸭山新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226502/index.m3u8
大兴安岭新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226499/index.m3u8
大庆公共 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225767/index.m3u8
大庆公共 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8
大庆新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225768/index.m3u8
大庆新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226484/index.m3u8
鸡西公共 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226481/index.m3u8
鸡西新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226410/index.m3u8
鹤岗新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226496/index.m3u8
齐齐哈尔新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226413/index.m3u8
齐齐哈尔经济法治 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226493/index.m3u8
牡丹江新闻综合 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8

安徽联通,#genre#
CCTV1,http://36.35.16.98:9901/tsfile/live/0001_18.m3u8
CCTV2-财经,http://36.35.16.98:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://36.35.16.98:9901/tsfile/live/0001_40.m3u8
CCTV4-国际,http://36.35.16.98:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://36.35.16.98:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://36.35.16.98:9901/tsfile/live/0006_1.m3u8
CCTV7-军农,http://36.35.16.98:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://36.35.16.98:9901/tsfile/live/0001_41.m3u8
CCTV9-纪录,http://36.35.16.98:9901/tsfile/live/0009_1.m3u8
CCTV10-科教,http://36.35.16.98:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://36.35.16.98:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://36.35.16.98:9901/tsfile/live/0001_30.m3u8
CCTV-13,http://36.35.16.98:9901/tsfile/live/0001_33.m3u8
CCTV15-音乐,http://36.35.16.98:9901/tsfile/live/0015_1.m3u8
CCTV17,http://36.35.16.98:9901/tsfile/live/0019_1.m3u8
影视频道,http://36.35.16.98:9901/tsfile/live/0001_36.m3u8
综艺频道,http://36.35.16.98:9901/tsfile/live/0001_38.m3u8
经济生活,http://36.35.16.98:9901/tsfile/live/0001_35.m3u8
安徽国际,http://36.35.16.98:9901/tsfile/live/0130_1.m3u8
科教频道,http://36.35.16.98:9901/tsfile/live/0001_39.m3u8
公共频道,http://36.35.16.98:9901/tsfile/live/0001_37.m3u8
安徽卫视(高清),http://36.35.16.98:9901/tsfile/live/0001_1.m3u8
浙江卫视高清,http://36.35.16.98:9901/tsfile/live/0001_24.m3u8
湖南卫视高清,http://36.35.16.98:9901/tsfile/live/0001_20.m3u8
北京卫视高清,http://36.35.16.98:9901/tsfile/live/0001_19.m3u8
东方卫视高清,http://36.35.16.98:9901/tsfile/live/0001_34.m3u8
辽宁卫视高清,http://36.35.16.98:9901/tsfile/live/0001_29.m3u8
山东卫视高清,http://36.35.16.98:9901/tsfile/live/0001_28.m3u8
广东卫视高清,http://36.35.16.98:9901/tsfile/live/0001_27.m3u8
湖北卫视高清,http://36.35.16.98:9901/tsfile/live/0001_26.m3u8
天津卫视高清,http://36.35.16.98:9901/tsfile/live/0001_25.m3u8
江苏卫视高清,http://36.35.16.98:9901/tsfile/live/0001_23.m3u8
深圳卫视高清,http://36.35.16.98:9901/tsfile/live/0001_22.m3u8
黑龙江卫视高清,http://36.35.16.98:9901/tsfile/live/0001_21.m3u8
宁夏卫视,http://36.35.16.98:9901/tsfile/live/0001_6.m3u8
云南卫视,http://36.35.16.98:9901/tsfile/live/0001_2.m3u8
四川卫视,http://36.35.16.98:9901/tsfile/live/0001_4.m3u8
江西卫视,http://36.35.16.98:9901/tsfile/live/0001_3.m3u8
河北卫视,http://36.35.16.98:9901/tsfile/live/0001_31.m3u8
贵州卫视,http://36.35.16.98:9901/tsfile/live/0001_32.m3u8
东南卫视,http://36.35.16.98:9901/tsfile/live/0001_5.m3u8
重庆卫视,http://36.35.16.98:9901/tsfile/live/0001_7.m3u8
河南卫视,http://36.35.16.98:9901/tsfile/live/0001_8.m3u8
广西卫视,http://36.35.16.98:9901/tsfile/live/0001_9.m3u8
陕西卫视,http://36.35.16.98:9901/tsfile/live/0001_11.m3u8
旅游卫视,http://36.35.16.98:9901/tsfile/live/0001_10.m3u8
甘肃卫视,http://36.35.16.98:9901/tsfile/live/0001_13.m3u8
吉林卫视,http://36.35.16.98:9901/tsfile/live/0001_12.m3u8
新疆卫视,http://36.35.16.98:9901/tsfile/live/0001_15.m3u8
青海卫视,http://36.35.16.98:9901/tsfile/live/0001_14.m3u8
内蒙古卫视,http://36.35.16.98:9901/tsfile/live/0001_16.m3u8
山西卫视,http://36.35.16.98:9901/tsfile/live/0001_17.m3u8
海峡卫视,http://36.35.16.98:9901/tsfile/live/0150_1.m3u8
CCTV5+体育赛事,http://36.35.16.98:9901/tsfile/live/0016_1.m3u8
广西联通,#genre#
CCTV-1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8
CCTV-2,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8
CCTV-3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8
CCTV-4,http://221.7.175.154:8445/tsfile/live/1003_1.m3u8
CCTV-5,http://221.7.175.154:8445/tsfile/live/0113_1.m3u8
CCTV-6,http://221.7.175.154:8445/tsfile/live/1004_1.m3u8
CCTV-7,http://221.7.175.154:8445/tsfile/live/1005_1.m3u8
CCTV-8,http://221.7.175.154:8445/tsfile/live/1006_1.m3u8
CCTV-9,http://221.7.175.154:8445/tsfile/live/1007_1.m3u8
CCTV-10,http://221.7.175.154:8445/tsfile/live/1008_1.m3u8
CCTV-17,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8
CCTV-12[1280*720],http://221.7.175.154:8445/tsfile/live/1010_1.m3u8
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8
CCTV-新闻,http://221.7.175.154:8445/tsfile/live/1011_1.m3u8
CCTV-少儿,http://221.7.175.154:8445/tsfile/live/1012_1.m3u8
广西都市,http://221.7.175.154:8445/tsfile/live/1013_1.m3u8
湖南卫视,http://221.7.175.154:8445/tsfile/live/0128_1.m3u8
河南卫视,http://221.7.175.154:8445/tsfile/live/0139_1.m3u8
河北卫视,http://221.7.175.154:8445/tsfile/live/0117_1.m3u8
山西卫视,http://221.7.175.154:8445/tsfile/live/0118_1.m3u8
陕西卫视,http://221.7.175.154:8445/tsfile/live/0136_1.m3u8
江西卫视,http://221.7.175.154:8445/tsfile/live/0010_1.m3u8
